"n","film","revenue","budget","language","popularity","vote.average","vote.count","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev","id"
"173","Thunderbolt and Lightfoot",21700000,0,"en",6097,6.8,221,"1974-05-23",35,"R","Comedy",1974,"70-74","70-79",1,7.33645973384853,"8348"
"174","Ali Fear Eats the Soul",0,130000,"de",7051,7.8,167,"1974-06-05",10749,"G","Romance",1974,"70-74","70-79",5.11394335230684,1,"216"
"175","Sweet Movie",0,0,"en",4816,5.7,62,"1974-06-12",35,NA,"Comedy",1974,"70-74","70-79",1,1,"1559"
"176","The Parallax View",0,0,"en",5.19,6.9,116,"1974-06-14",80,"R","Crime",1974,"70-74","70-79",1,1,"17365"
"177","Chinatown",3e+07,6e+06,"en",12681,7.9,2063,"1974-06-20",80,"R","Crime",1974,"70-74","70-79",6.77815125038364,7.47712125471966,"829"
"178","Arabian Nights",0,0,"it",6794,6.9,83,"1974-06-20",18,"R","Drama",1974,"70-74","70-79",1,1,"47406"
"179","Emmanuelle",0,5e+05,"fr",13654,5.1,143,"1974-06-25",18,"NR","Drama",1974,"70-74","70-79",5.69897000433602,1,"24402"
"180","Death Wish",2.2e+07,3e+06,"en",6818,6.9,362,"1974-07-24",28,"R","Action",1974,"70-74","70-79",6.47712125471966,7.34242268082221,"13939"
"181","Bring Me the Head of Alfredo Garcia",0,1500000,"en",7188,7,160,"1974-08-07",28,"R","Action",1974,"70-74","70-79",6.17609125905568,1,"11942"
"182","The Land That Time Forgot",0,1500000,"en",7328,5.4,76,"1974-08-13",12,"PG","Adventure",1974,"70-74","70-79",6.17609125905568,1,"27085"
