"","film","revenue","budget","language","popularity","vote.average","vote.count","id","tagline","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev"
"93","Diamonds Are Forever","116019547","7200000","en",15988,6.4,1065,"681","The man who made 007 a household number","13/12/1971",28,"PG","Action",1971,"70-74","70-79",2.39794000867204,2.05690485133647
"94","Four Flies on Grey Velvet","0","0","it",4719,6.5,160,"30689","When the flies start to crawl, so will your flesh...","17/12/1971",80,NA,"Crime",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"95","A Clockwork Orange","26589000","2200000","en",17707,8.2,7821,"185","Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","18/12/1971",18,"R","Drama",1971,"70-74","70-79",2.10380372095596,2.81491318127507
"96","Harold and Maude","0","1200000","en",10079,7.7,539,"343","They were meant to be. But exactly what they were meant to be is not quite clear.","20/12/1971",35,"PG","Comedy",1971,"70-74","70-79",1.78532983501077,0.301029995663981
"97","Macbeth","0","3100000","en",6983,6.9,138,"11316",NA,"20/12/1971",10752,"R","War",1971,"70-74","70-79",2.20411998265592,0.301029995663981
"98","Dirty Harry","35976000","1,00E+07","en",12.41,7.5,1207,"984","Detective Harry Callahan. He doesn't break murder cases. He smashes them.","21/12/1971",28,"R","Action",1971,"70-74","70-79",0.698970004336019,2.94596070357757
"99","Straw Dogs","3251794","2200000","en",8248,7.2,461,"994","Sometimes a man is forced to defend his honor.","23/12/1971",80,"R","Crime",1971,"70-74","70-79",2.10380372095596,2.90200289135073
"100","Duel","0","450000","en",7646,7.4,902,"839","The most bizarre murder weapon ever used!","25/12/1971",28,"PG","Action",1971,"70-74","70-79",2.28330122870355,0.301029995663981
"101","The Cowboys","7500000","6,00E+06","en",5.38,7.1,116,"15573","All they wanted was their chance to be men...and he gave it to them.","13/01/1972",28,"PG","Action",1972,"70-74","70-79",2.34242268082221,3.13385812520333
"102","Lone Wolf and Cub: Sword of Vengeance","0","0","ja",4907,7.5,79,"41471",NA,"15/01/1972",18,NA,"Drama",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"103","Cabaret","0","6,00E+06","en",8052,7.5,479,"10784","Life is a Cabaret","13/02/1972",18,"PG","Drama",1972,"70-74","70-79",2.34242268082221,0.301029995663981
"104","Silent Running","0","1,00E+06","en",6886,6.3,295,"811","Amazing companions on an incredible journey...that journeys beyond imagination!","9/03/1972",12,"G","Adventure",1972,"70-74","70-79",0.602059991327962,0.301029995663981
"105","Tales from the Crypt","0","0","en",6457,6.9,114,"38939","DEATH LIVES in the Vault of Horror!","9/03/1972",27,"PG","Horror",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"106","What's Up, Doc?","6.6e+07","4,00E+06","en",5659,7.3,141,"6949","A screwball comedy. Remember them?","9/03/1972",35,"G","Comedy",1972,"70-74","70-79",2.24303804868629,3.08564728829686
"107","Pink Flamingos","6,00E+06","12000","en",6.61,6.5,233,"692","An exercise in poor taste","12/03/1972",35,"NC-17","Comedy",1972,"70-74","70-79",1.77815125038364,3.08493357493672
"108","The Godfather","245066411","6,00E+06","en",24264,8.7,11521,"238","An offer you can't refuse.","14/03/1972",80,"R","Crime",1972,"70-74","70-79",2.34242268082221,2.78247262416629
"109","Solaris","0","0","ru",11517,7.9,774,"593",NA,"20/03/1972",18,"PG","Drama",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"110","Fist of Fury","0","1,00E+07","zh",10.84,7.3,419,"11713","Bruce Lee has done the impossible... ...HE'S SURPASSED HIMSELF!!!","22/03/1972",18,"R","Drama",1972,"70-74","70-79",0.698970004336019,0.301029995663981
"111","Fritz the Cat","1,00E+08","850000","en",11562,6.2,133,"12593","We're not rated X for nothin', baby!","12/04/1972",16,"NC-17","Animation",1972,"70-74","70-79",2.43296929087441,0.602059991327962
"112","Play It Again, Sam","0","0","en",5583,7.6,309,"11610","Here's laughing at you, kid.","4/05/1972",35,"PG","Comedy",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"113","Frenzy","12600000","3500000","en",7.15,7.1,378,"573","Just an ordinary necktie used with a deadly new twist.","25/05/1972",80,"R","Crime",1972,"70-74","70-79",2.22530928172586,2.26007138798507
"114","The Way of the Dragon","2.7e+07","130000","cn",10193,7.4,500,"9462","The Colosseum . . the battleground of Bruce Lee and Chuck Norris.","1/06/1972",28,"R","Action",1972,"70-74","70-79",1.84509804001426,2.6570558528571
"115","Boxcar Bertha","0","6,00E+05","en",5635,6.1,90,"22784","Life made her an outcast. Love made her an outlaw.","14/06/1972",80,"R","Crime",1972,"70-74","70-79",2.34044411484012,0.301029995663981
"116","Conquest of the Planet of the Apes","9700000","1700000","en",7425,6.2,426,"1688","All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!","29/06/1972",28,"PG","Action",1972,"70-74","70-79",1.93449845124357,3.18695633546541
"117","The Canterbury Tales","0","0","it",5678,6.3,87,"5691",NA,"1/07/1972",35,"NC-17","Comedy",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"118","Joe Kidd","6330000","0","en",8927,6.4,155,"14881","If you're looking for trouble - - - he's JOE KIDD","14/07/1972",37,"PG","Western",1972,"70-74","70-79",0.301029995663981,3.09760432887441
"119","Deliverance","46122355","2,00E+06","en",6938,7.3,830,"10669","What did happen on the Cahulawassee River?","30/07/1972",18,"R","Drama",1972,"70-74","70-79",1.99563519459755,3.02366391819779
"120","The Genesis Children","0","0","en",10793,7,3,"47094",NA,"1/08/1972",18,NA,"Drama",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"121","Everything You Always Wanted to Know About Sex *But Were Afraid to Ask","18016290","2,00E+06","en",7497,6.6,505,"11624","You haven't seen anything until you've seen everything","6/08/1972",35,"R","Comedy",1972,"70-74","70-79",1.99563519459755,2.58658730467176
"122","Blacula","0","5,00E+05","en",4067,5.6,73,"30566","Blacula! - Dracula's Soul Brother!","25/08/1972",14,"PG","Fantasy",1972,"70-74","70-79",2.29885307640971,0.301029995663981
"123","The Last House on the Left","0","90000","en",7654,6.1,307,"15516","It rests on 13 acres of earth over the very center of hell...!","30/08/1972",27,"R","Horror",1972,"70-74","70-79",2.45636603312904,0.301029995663981
"124","Jeremiah Johnson","0","0","en",8346,7.4,287,"11943","His Mountain. His Peace. His Great Hunts. His Young Bride. With All That, It Should Have Been Different.","10/09/1972",12,"PG","Adventure",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"125","The Discreet Charm of the Bourgeoisie","0","8,00E+05","fr",7312,7.7,352,"4593",NA,"15/09/1972",35,NA,"Comedy",1972,"70-74","70-79",2.41161970596323,0.301029995663981
"126","The Getaway","58831997","3352254","en",6101,7.1,252,"5916","It takes two to make it … The big two.","20/09/1972",28,"PG","Action",1972,"70-74","70-79",2.21748394421391,3.08026562733984
"127","Don't Torture a Duckling","0","0","it",5351,7.6,174,"49361",NA,"29/09/1972",27,"G","Horror",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"128","Horror Express","0","3,00E+05","en",7706,6.4,119,"32613","A nightmare of terror travelling aboard the Horror Express!","30/09/1972",27,"R","Horror",1972,"70-74","70-79",2.15836249209525,0.301029995663981
"129","The Bitter Tears of Petra von Kant","0","0","de",5058,7.4,81,"10310","Sex is the ultimate weapon.","5/10/1972",18,NA,"Drama",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"130","The Mechanic","0","0","en",7694,6.9,121,"19403","He has 100 ways to kill... and they all work!","6/10/1972",28,"PG","Action",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"131","Last Tango in Paris","36144000","1250000","it",8442,7.1,631,"1643","Bernardo Bertolucci’s Landmark Film","14/10/1972",18,"NC-17","Drama",1972,"70-74","70-79",1.81291335664286,2.94694327069783
"132","Asylum","0","0","en",5425,6,62,"25993","You have nothing to lose but your mind.","17/11/1972",27,"PG","Horror",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"133","The Tall Blond Man with One Black Shoe","0","0","fr",5725,6.9,201,"12089",NA,"6/12/1972",35,NA,"Comedy",1972,"70-74","70-79",0.301029995663981,0.301029995663981
"134","Sleuth","0","0","en",7626,7.7,287,"993","If It Was Murder, Where's the Body?","10/12/1972",80,"PG","Crime",1972,"70-74","70-79",0.301029995663981,0.301029995663981
